identifier,translation,other-identifier,author-name,num-authors,author-gender,author-nationality,book-title,publ-first,publ-edition,publ-ref,publ-decade,publisher,collection,subgenre,type,ISBN,status,read,Bemerkungen,protagonists,narration,setting-type,setting-place,setting-time,translator(s),title-original,publ-original,Startkorpus,Duplikat prüfen
Pennac_Petite,no,,"Pennac, Daniel",1,male,FRA,La petite marchande de prose,1989,1990,1989,1980s,Gallimard,Folio,blanche,blanche,2-07-071822-0,tei,,,,,,,,,,,,
Pozzessere_Riviere,yes,,"Pozzessere, Heather Graham",1,female,USA,Comme une rivière,,1989,1989,1980s,Harlequin,Duo Harmonie,sentimental,populaire,2-280-83227-5,tei,,Kapitel nicht durchgehend erkannt,,,,,,(unknown),Angel of Mercy,,,
Quentin_Mort,yes,,"Quentin, Patrick",1,male,,La mort fait l'appel,,1989,1989,1980s,Le Masque,Romans d'aventures,policier,populaire,2-7024-1874-0,tei,no,Kapitel nicht durchgehend erkannt,,,,,,"Canavaggia, Marie",Death goes to school,,,
Richards_Pluie,yes,,"Richards, Emilie",1,female,,Pluie de fleurs sur Wehilani,,1989,1989,1980s,Harlequin,Duo Romance,sentimental,populaire,2-280-08452-2,tei,,,,,,,,(unknown),Island Glory,,,
RobertsD_Scorpion,yes,,"Roberts, Doreen",1,female,,Le scorpion de jade,,1989,1989,1980s,Harlequin,Duo Harmonie,sentimental,populaire,2-280-83223-2,tei,,Kapitel nicht durchgehend erkannt,,,,,,(unknown),Forbidden Jade,,,
RossJo_Rock,yes,,"Ross, JoAnn",1,female,,Red Rock Café,,1989,1989,1980s,Harlequin,Duo Desir,sentimental,populaire,2-280-85275-6,tei,,,,,,,,"Adam, Malvina",Murphey's Law,,,
Sanders_Ensorcelante,yes,,"Sanders, Glenda",1,female,,Ensorcelante gitane,,1989,1989,1980s,Harlequin,Duo Desir,sentimental,populaire,2-280-85282-9,tei,,,,,,,,"Depiesse, Geneviève",Gypsy,,,
Sattler_Emeraude,yes,,"Sattler, Veronica",1,female,,Emeraude ou le rêve américain,,1989,1989,1980s,Harlequin,Grands Romans,sentimental,populaire,2-280-11031-8,tei,,Kapitel nicht durchgehend erkannt,,,,,,"Depoutot, Véronique",Jesse's Lady,,,
Schuler_Songes,yes,,"Schuler, Candace",1,female,,Les songes de belle de lune,,1989,1989,1980s,Harlequin,Duo Desir ,sentimental,populaire,9-78228-0852869,tei,,Titelblatt rausgerissen; Dépôt légal: Dezember 1989,,,,,,(unknown),(unknown),,,
Schuler_Trophees,yes,,"Schuler, Candace",1,female,,Trophées pour un guerrier,,1989,1989,1980s,Harlequin,Duo Desir,sentimental,populaire,2-280-85281-0,tei,,,,,,,,(unknown),Soul mates,,,
Schulze_Femme,yes,,"Schulze, Dallas ",1,female,,Une femme en villégiature,,1989,1989,1980s,Harlequin,Duo Harmonie,sentimental,populaire,2-280-83228-3,tei,,Kapitel nicht durchgehend erkannt,,,,,,"Canal, Mary",Donovan's Promise,,,
Seger_Soir,yes,,"Seger, Maura",1,female,,Un soir à Central Park,,1989,1989,1980s,Harlequin,Duo Harmonie,sentimental,populaire,2-280-83230-5,tei,,Kapitel nicht durchgehend erkannt,,,,,,(unknown),Day and Night,,,
Simon_Acacia,no,rv0188,"Simon, Claude",1,male,FRA,L'Acacia,1989,,1989,1980s,(unknown),(unknown),blanche,blanche,(unknown),tei,,,,,,,,,,,,
Smith_Corrie,yes,,"Smith, Joan",1,female,,Ma chère Corrie,,1989,1989,1980s,Harlequin,Duo Romance,sentimental,populaire,2-280-80425-5,tei,no,,,,,,,,Dear corrie,,,
StJohn_Caprice,yes,,"St John, Sally",1,female,,Caprice d'artiste,,1989,1989,1980s,Harlequin,Collection Azur,sentimental,populaire,2-280-00883-1,ocr,,,,,,,,,,,,
Thurlo_Serment,yes,,"Thurlo, Aimée",1,female,,Le serment de Melanie,,1989,1989,1980s,Harlequin,Duo Harmonie,sentimental,populaire,2-280-83237-2,tei,,,,,,,,(unknown),Expiration Date,,,
Trent_Jolie,yes,,"Trent, Brenda",1,female,,Une si jolie petite plage,,1989,1989,1980s,Harlequin,Duo Romance,sentimental,populaire,2-280-80426-3,tei,,,,,,,,(unknown),A Man of her own,,,
Tyler_Neiges,yes,,"Tyler, Alison",1,female,,Les neiges du Fuji Yama,,1989,1989,1980s,Presses de la Cité,Passionnément,sentimental,populaire,2-258-02303-3,tei,,Kapitel nicht durchgehend erkannt,,,,,,"Galangau, Vassoula",Chase the Sun,,,
vanWieren_Reves,no,,"van Wieren, Mona",1,female,,Les rêves d'une architecte,,1989,1989,1980s,Harlequin,Duo Romance,sentimental,populaire,2-280-80434-4,tei,,,,,,,,,,,,
Vautrin_Grand,no,,"Vautrin, Jean",1,male,FRA,Un grand pas vers le Bon Dieu,,1989,1989,1980s,Grasset,,blanche,blanche,2-246-40711-7,tei,,Kapitel nicht durchgehend erkannt,,,,,,,,,,
Win_Madison,yes,,"Win, David",1,male,,Madison Avenue,,1989,1989,1980s,Harlequin,Grands Romans,sentimental,populaire,2-280-13211-7,tei,,Kapitel nicht durchgehend erkannt,,,,,,"Ballarin, Charles",Co-Op,,,
Woods_Passagere,yes,,"Woods, Sherryl",1,female,,La passagère de la nuit,,1989,1989,1980s,Harlequin,Rouge Passion,sentimental,populaire,2-280-12247-2,tei,no,,,,,,,,,,,
YoungB_Rose,yes,,"Young, Brittany",1,female,,La rose du Kremlin,,1989,1989,1980s,Harlequin,Duo Romance,sentimental,populaire,2-280-80437-9,tei,no,,,,,,,,,,,
YoungB_Soeurs,yes,,"Young, Brittany",1,female,,Les soeurs de l'orage,,1989,1989,1980s,Harlequin,Duo Romance,sentimental,populaire,2-280-80440-9,tei,no,,,,,,,,The kiss of a stranger,,,
YoungK_Maison,yes,,"Young, Karen",1,female,USA,Dans la maison du lac,,1989,1989,1980s,Harlequin,Collection Or,sentimental,populaire, 2-280-07302-1,tei,no,,,,,,,,All my tomorrows,,,
Arnold_Prisonniers,yes,,"Arnold, Judith",1,female,USA,Les prisonniers de l'orage,,1990,1990,1990s,Harlequin,Duo Harmonie,sentimental,populaire,978-2-28-083271-7,tei,,Titelblatt fehlend; Dépot légal Oktober 1990; Kapitel nicht durchgehend erkannt,,,,,,,,,,
August_Question,yes,,"August, Elizabeth",1,female,USA,Une question de confiance,,1990,1990,1990s,Harlequin,Duo Romance,sentimental,populaire,978-2-28-080454-7,tei,,Titelblatt fehlend; Dépot légal Avril 1990,,,,,,,,,,
Barnes_Amoureuse,yes,,"Barnes, Elizabeth",1,female,USA,,,1990,1990,1990s,Harlequin,Collection Horizon,sentimental,populaire,2-280-01866-7,tei,,,,,,,,,In spite of themselves,,,
Bartlett_Allie,yes,,"Bartlett, Kay",1,female,USA,L'allié de l'ombre,,1990,1990,1990s,Harlequin,Duo Harmonie,sentimental,populaire,9-78228-0832489,tei,,Titelblatt herausgerissen; Dépot légal février 1990,,,,,,(unknown),(unknown),,,
Ressi_Memoire,no,,"Michèle, Ressi",1,female,FRA,La memoire des corps,1990,1990,1990,1990s,Presses de la Cité,,policier,populaire,9-782285-004386,tei,,,,,,,,,,,,
Bennett_Regard,yes,,"Bennett, Connie",1,female,USA,Le regard brisé,,1990,1990,1990s,Harlequin,Collection Or,sentimental,populaire,2-280-07316-1,tei,no,,,,,,,,When I see your face,,,
Berthelot_Rivage,no,,"Berthelot, Francis",1,male,FRA,Rivage des intouchables,,1990,1990,1990s,Denoël,Présence du Futur,scifi,populaire,2-207-30507-4,tei,,Teile und Kapitel,,,,,,,,,,
Blair_Eaux,yes,,"Blair, Kathryn",1,female,GBR,Eaux dangereuses,,1990,1990,1990s,Harlequin,Duo Harmonie,sentimental,populaire,9-78228-0832540,tei,,Titelblatt herausgerissen; Dépôt légal : avril 1990,,,,,,(unknown),(unknown),,,
Brandon_Fille,yes,,"Brandon, Joyce",1,female,USA,La fille du bandit,,1990,1990,1990s,Harlequin,Grands Romans,sentimental,populaire,2-280-13216-8,tei,,,,,,,,"Esch, Jean",After Eden,,,
Carlisle_Lady,yes,,"Carlisle, Donna",1,female,USA,Lady Paméla,,1990,1990,1990s,Harlequin,Rouge Passion,sentimental,populaire,978-2-2801-2326-6,tei,no,Titelblatt fehlt; Dépôt légal : août 1990,,,,,,,,,,
Carlisle_Superflic,yes,,"Carlisle, Donna",1,female,USA,Superflic et superstar,,1990,1990,1990s,Harlequin,Rouge Passion,sentimental,populaire,978-2-2801-2306-8,tei,no,Titelblatt fehlt; Dépôt légal : mars 1990,,,,,,,,,,
Carr_Pambazuko,yes,,"Carr, Eleni",1,female,USA,Pambazuko,,1990,1990,1990s,Harlequin,Collection Or,sentimental,populaire,2-280-07319-6,tei,,,,,,,,,,,,
Chance_Chantage,yes,,"Chance, Sara",1,female,USA,Un chantage à l'amour,,1990,1990,1990s,Harlequin,Duo Harmonie,sentimental,populaire,2-280-83253-4,tei,,Kapitel nicht durchgehend erkannt,,,,,,(unknown),Fire in the Night,1989,,
Chance_Prince,yes,,"Chance, Sara",1,female,USA,Un prince pour une héritière,,1990,1990,1990s,Harlequin,Rouge Passion,sentimental,populaire,2-280-12309-6,tei,no,,,,,,,,With a little spice,,,
Collins_Reve,yes,,"Collins Smith, Marion ",1,female,,Un rêve au bout des doigts,,1990,1990,1990s,Harlequin,Duo Harmonie,sentimental,populaire,978-2-28-083273-1,tei,,Titelblatt fehlt; Dépôt légal : octobre 1990,,,,,,,,,,
Daeninckx_Facteur,no,rv1244,"Daeninckx, Didier",1,male,FRA,Le Facteur Fatal,1990,,1990,1990s,(unknown),(unknown),policier,populaire,(unknown),tei,,,,,,,,,,,,
Davis_Pleuvait,yes,,"Davis, Maggie",1,female,,Il pleuvait sur Griffin...,,1990,1990,1990s,Harlequin,Duo Desir,sentimental,populaire,2-280-85297-7,tei,,,,,,,,(unknown),Dreamboat,,,
Deff_Psychopompes,no,,"Deff, Red",1,male,FRA,Les psychopompes de Klash,,1990,1990,1990s,Fleuve noir,Anticipation,scifi,populaire,2-265-04265-X,tei,,,,,,,,,,,,
Ellis_Mais,yes,,"Ellis, Patricia",1,female,,Mais qui est donc M. Chandler?,,1990,1990,1990s,Harlequin,Duo Romance,sentimental,populaire,2-280-80456-5,tei,,,,,,,,(unknown),Sweet Protector,1989,,
Ellroy_Dahlia,yes,,"Ellroy, James",1,male,USA,Le Dahlia noir,,1990,1990,1990s,Rivages,Rivages/Noir,policier,populaire,2-86930-391-2,tei,,Kapitel nicht durchgehend erkannt,,,,,,"Michalski, Freddy",The Black Dahlia,1987,,
Engels_Appel,yes,,"Engels, Mary Tate",1,female,,L'appel du vent,,1990,1990,1990s,Harlequin,Duo Desir,sentimental,populaire,2-280-85322-1,tei,,Titelblatt rausgerissen; Dépot légal Januar 1990,,,,,,(unknown),(unknown),,,
Forest_Chanson,yes,,"Forest, Regan",1,female,USA,La chanson du vent,,1990,1990,1990s,Harlequin,Duo Desir,sentimental,populaire,9-78228-0852913,tei,,Titelblatt rausgerissen; Dépôt légal: März 1990; Kapitel nicht durchgehend erkannt,,,,,,(unknown),(unknown),,,
